address,company,detail,position
深圳,"
华为
",本科以上 | 5-10年 | 全职 | 30000-50000元,数据仓库架构师
广州,"
网易
",本科以上 | 实习,营销策划实习生
上海,"
麦子金服
",本科以上 | 10年以上 | 全职 | 60-84万,品牌总经理
广州,"
网易
",本科以上 | 1-3年 | 全职 | 15000-30000,C++开发工程师
杭州,"
网易
",本科以上 | 1年以下 | 全职 | 15000-30000元,高级Unity开发工程师-人工智能事业部
广州,"
网易
",本科以上 | 1-3年 | 全职 | 12000-24000,BI后台开发工程师
广州,"
网易
",本科以上 | 1-3年 | 全职 | 11000-20000,Python开发工程师
广州,"
网易
",本科以上 | 1-3年 | 全职 | 15000-20000,iOS开发工程师
北京,"
网易
",本科以上 | 实习 | 2000-3000元,视频制作专员
杭州,"
网易
",本科以上 | 5-7年工作经验 | 全职 | 4-5万/月,资深产品经理 产品专家—订单履约平台方向
广州,"
网易
",本科以上 | 3-5年 | 全职 | 20000-25000,杭州网易_ Windows客户端开发工程师
广州,"
网易
",本科以上 | 3-5年 | 全职 | 20000-25000,杭州网易_IOS 资深开发工程师
杭州,"
网易
",本科以上 | 5-10年 | 全职 | 20000-40000,资深产品经理 产品专家--供应商管理方向
广州,"
网易
",3-5年 | 全职 | 1.5-2千/月,华南客户经理
广州,"
网易
",1-3年 | 全职 | 5-8千/月,广告设计师
广州,"
网易
",本科以上 | 1-3年 | 全职 | 10000-15000,玩家社群高级运营策划
北京,"
网易
",本科以上 | 3-5年 | 全职 | 15000-30000元,本地化项目经理
上海,"
麦子金服
",本科以上 | 5年以上 | 全职,招聘经理
上海,"
麦子金服
",大专以上 | 1年工作经验 | 全职 | 0.8-1.2万/月,市场主管
北京,"
麦子金服
",本科以上 | 6年以上 | 全职 | 60-84万,COO
上海,"
麦子金服
",本科以上 | 3年以上 | 全职,内容运营
上海,"
麦子金服
",本科以上 | 3-4年工作经验 | 全职 | 2-2.5万/月,运维工程师
上海,"
麦子金服
",大专以上 | 应届毕业生 | 全职 | 1-1.5万/月,销售代表
上海,"
麦子金服
",本科以上 | 3年以上 | 全职,产品经理
南宁,"
麦子金服
",本科以上 | 3-4年工作经验 | 全职 | 1-1.5万/月,行政经理
上海,"
麦子金服
",本科以上 | 2年工作经验 | 全职 | 0.6-1.5万/月,理财顾问
上海,"
麦子金服
",本科以上 | 3-4年工作经验 | 全职 | 1.5-3万/月,Java
深圳,"
麦子金服
",2年工作经验 | 实习 | 0.6-1万/月,线下C端BD
上海,"
麦子金服
",大专以上 | 1年工作经验 | 全职 | 6-8千/月,客服专员
深圳,"
麦子金服
",本科以上 | 1年工作经验 | 实习 | 0.8-1万/月,业务代表
上海,"
麦子金服
",本科以上 | 2年工作经验 | 全职 | 1.5-2.3万/月,JAVA开发工程师
德阳,"
阿里
",大专以上 | 5-10年 | 全职 | 6000-11000,零售通德阳驻中江区经理
深圳,"
阿里
",本科以上 | 5-10年 | 全职 | 25000-50000,QA leader
杭州,"
阿里
",本科以上 | 全职 | 30000-60000,分布式消息中间件研发专家
